drug1_Name,TCGA-FA-8693-01A,TCGA-FA-A4BB-01A,TCGA-FA-A4XK-01A,TCGA-FA-A6HN-01A,TCGA-FA-A6HO-01A,TCGA-FA-A7DS-01A,TCGA-FA-A7Q1-01A,TCGA-FA-A82F-01A,TCGA-FA-A86F-01A,TCGA-FF-8041-01A,TCGA-FF-8042-01A,TCGA-FF-8043-01A,TCGA-FF-8046-01A,TCGA-FF-8047-01A,TCGA-FF-8061-01A,TCGA-FF-8062-01A,TCGA-FF-A7CQ-01A,TCGA-FF-A7CR-01A,TCGA-FF-A7CW-01A,TCGA-FF-A7CX-01A,TCGA-FM-8000-01A,TCGA-G8-6324-01A,TCGA-G8-6325-01A,TCGA-G8-6326-01A,TCGA-G8-6906-01A,TCGA-G8-6907-01A,TCGA-G8-6909-01A,TCGA-G8-6914-01A,TCGA-GR-7351-01A,TCGA-GR-7353-01A,TCGA-GR-A4D4-01A,TCGA-GR-A4D5-01A,TCGA-GR-A4D6-01A,TCGA-GR-A4D9-01B,TCGA-GS-A9TQ-01A,TCGA-GS-A9TT-01A,TCGA-GS-A9TU-01A,TCGA-GS-A9TV-01A,TCGA-GS-A9TW-01A,TCGA-GS-A9TX-01A,TCGA-GS-A9TY-01A,TCGA-GS-A9TZ-01A,TCGA-GS-A9U3-01A,TCGA-GS-A9U4-01A,TCGA-RQ-A68N-01A,TCGA-RQ-A6JB-01A,TCGA-RQ-AAAT-01A,TCGA-VB-A8QN-01A
(-)-Blebbistatin,0.1402837187051773,0.13327309489250186,0.13349983096122742,0.13295643031597135,0.13443180918693542,0.15004397928714752,0.12738896906375885,0.14690759778022766,0.13372847437858582,0.15847761929035187,0.1414089798927307,0.14770473539829254,0.1418871283531189,0.12526564300060272,0.14202411472797394,0.14108197391033173,0.13742467761039734,0.1352633535861969,0.13282369077205658,0.1378847360610962,0.15763545036315918,0.14256136119365692,0.13591158390045166,0.16942928731441498,0.14431533217430115,0.13194455206394196,0.1313084363937378,0.14642874896526334,0.14639203250408173,0.12279097735881805,0.13988114893436432,0.14347217977046967,0.13865028321743011,0.1358739584684372,0.1288411021232605,0.13659265637397766,0.1297132670879364,0.13083146512508392,0.1503676027059555,0.13853833079338074,0.13487018644809726,0.13653437793254852,0.14597217738628387,0.16569370031356812,0.1446143537759781,0.13642650842666626,0.14626170694828033,0.12766888737678528
(-)-Ethyl apovincaminate,0.09079065918922424,0.10201554000377656,0.1069219931960106,0.09828810393810272,0.10841374099254608,0.099418543279171,0.10154545307159424,0.10035525262355804,0.10844160616397858,0.1035449430346489,0.10470050573349,0.11170177906751633,0.10417728126049043,0.11324531584978105,0.10234636068344116,0.09069115668535233,0.10625509917736052,0.1004115268588066,0.10257765650749208,0.10995397716760637,0.09886974841356276,0.10313406586647034,0.10715793073177338,0.10741391032934187,0.09985996782779694,0.10736225545406343,0.1060350462794304,0.1068592444062233,0.09755156189203262,0.1026097685098648,0.10793277621269226,0.09395062178373337,0.10283611714839937,0.10720979422330856,0.109370157122612,0.11895200610160828,0.10992172360420227,0.10084494203329086,0.09625769406557083,0.10320328921079636,0.10862725973129272,0.10490571707487106,0.10226012766361237,0.09967615455389024,0.09782648831605913,0.10929396003484726,0.10131668299436568,0.09332621842622756
117048-62-1,0.10911991447210312,0.11236760020256042,0.1151697114109993,0.11016862839460373,0.11855471134185792,0.12400561571121214,0.1139090061187744,0.12035555392503737,0.11660061031579973,0.11685624718666075,0.11638157814741135,0.11643067002296448,0.11587724834680554,0.11036019027233124,0.115386463701725,0.11451509594917295,0.11301184445619585,0.1212148666381836,0.11747455596923828,0.11269336938858032,0.11843442171812055,0.12248855084180832,0.11903565376996995,0.1287597119808197,0.1221308335661888,0.10977616161108016,0.12373051047325136,0.11714670807123186,0.11698470264673233,0.10431624203920364,0.10500341653823853,0.10952727496623993,0.11558040976524353,0.1158074587583542,0.11495738476514815,0.10622864961624147,0.1079758033156395,0.12361857295036315,0.11202183365821837,0.10528891533613204,0.11299793422222135,0.11688090860843657,0.1196284368634224,0.12825952470302582,0.11810151487588882,0.11311136186122896,0.12083662301301955,0.10842040181159973
122111-05-1,0.07911070436239243,0.08059893548488617,0.08395600318908691,0.07853151112794876,0.08516640961170198,0.08626824617385864,0.08555632084608078,0.08217334747314453,0.08279988169670105,0.08292721211910248,0.08456902205944061,0.08656243979930878,0.08274662494659424,0.08993347734212875,0.08682578802108765,0.07970374077558517,0.08253702521324158,0.08484555780887604,0.08772497624158859,0.08506693691015244,0.08283022791147232,0.08618517965078354,0.08332007378339767,0.08407636731863022,0.08619733899831772,0.08313652127981186,0.08864285051822662,0.08414734154939651,0.08305615931749344,0.08195212483406067,0.074638232588768,0.07462552189826965,0.08363670110702515,0.08298195153474808,0.08791293948888779,0.08191554248332977,0.07826825976371765,0.08251586556434631,0.07716062664985658,0.07780224084854126,0.08461577445268631,0.08211931586265564,0.08171969652175902,0.0831853374838829,0.08329254388809204,0.08241217583417892,0.08815742284059525,0.07727543264627458
152121-47-6,0.10977056622505188,0.11333613842725755,0.11748439818620683,0.10789146274328232,0.11713720858097075,0.12295347452163695,0.10776015371084212,0.1214599758386612,0.11851121485233307,0.12496394664049147,0.118231400847435,0.12760841846466064,0.11760691553354265,0.10951059311628343,0.11612153798341752,0.10773909091949464,0.1170404702425003,0.11637578904628755,0.10931079089641572,0.1191183775663376,0.1223447248339653,0.11789838969707488,0.11975353956222536,0.13607825338840485,0.11555297672748566,0.11207373440265657,0.10812869668006896,0.1197189912199974,0.11503362655639647,0.1003686785697937,0.12279719114303587,0.1110643520951271,0.11367040127515793,0.1186251938343048,0.1116892397403717,0.1298459768295288,0.11471983790397645,0.11179161071777344,0.1158670410513878,0.11086918413639067,0.12029672414064407,0.11587169021368028,0.12121020257472992,0.12802980840206146,0.11802009493112565,0.12011755257844925,0.12036728858947755,0.1032247394323349
2-Methoxyestradiol,0.122590109705925,0.1367797702550888,0.14119979739189148,0.1322285383939743,0.14032398164272308,0.12521111965179446,0.1360468566417694,0.1296824961900711,0.14328798651695251,0.13492360711097715,0.14010277390480042,0.14614112675189972,0.13279956579208374,0.13619637489318848,0.13117150962352753,0.12407336384058,0.1338554173707962,0.13757029175758362,0.13176549971103668,0.14875592291355133,0.12827321887016296,0.13596829771995544,0.13894176483154294,0.13458457589149475,0.12954352796077728,0.13842587172985074,0.1337999850511551,0.13337042927742004,0.1291147917509079,0.13408219814300534,0.140029639005661,0.12593168020248413,0.13076281547546387,0.1376398354768753,0.1388036459684372,0.1569632589817047,0.14131253957748413,0.13773928582668304,0.12970875203609467,0.14173893630504608,0.13947820663452148,0.14106428623199466,0.1304461807012558,0.1329873353242874,0.12933744490146634,0.1410515457391739,0.12541069090366366,0.12804894149303436
209410-46-8,0.12788504362106326,0.1274891048669815,0.13129016757011416,0.12597647309303284,0.13228768110275269,0.13458652794361115,0.1315799355506897,0.13128674030303955,0.13533280789852142,0.13407769799232486,0.13523171842098236,0.14001935720443726,0.12916538119316098,0.1298719197511673,0.12727810442447662,0.12648271024227142,0.13121938705444336,0.1390252560377121,0.1328277736902237,0.13544774055480954,0.12765701115131378,0.1354428231716156,0.13536955416202545,0.1356004774570465,0.1344398409128189,0.12647725641727448,0.13763296604156494,0.12845273315906525,0.1305779367685318,0.12395846098661426,0.12582281231880188,0.12859973311424255,0.13023968040943146,0.13464459776878354,0.13418498635292053,0.13619227707386014,0.12728716433048248,0.1361262947320938,0.12930326163768768,0.12507104873657227,0.12904486060142514,0.13487368822097778,0.13135191798210144,0.1375342607498169,0.1319512128829956,0.13209305703639984,0.12909044325351715,0.1280527114868164
315183-21-2,0.06746426969766617,0.07321304827928543,0.076401486992836,0.07245136797428131,0.07825563102960588,0.07565739005804062,0.07457522302865982,0.07432649284601213,0.07679961621761322,0.0766943022608757,0.07522401958703995,0.08068767189979552,0.07486595958471297,0.07678569108247757,0.07626943290233612,0.07215806841850281,0.07425116747617723,0.0768454372882843,0.07567033171653748,0.07724350690841675,0.07809629291296005,0.07938195765018463,0.07740075141191483,0.08265257626771927,0.0763690248131752,0.07410779595375061,0.07686100155115128,0.0773192048072815,0.07547362148761749,0.07084657996892929,0.07450801879167558,0.07083672285079956,0.07517135888338089,0.07548759877681732,0.07620494812726973,0.07521941512823105,0.07488702982664107,0.07650253176689148,0.07159202545881271,0.07361285388469696,0.07621485739946365,0.07650057971477509,0.07651510089635849,0.07975944131612778,0.07353777438402176,0.07648902386426926,0.07728641480207442,0.07008291780948639
33419-42-0,0.06934992223978043,0.07361333817243576,0.07563981413841248,0.07185495644807817,0.07542295753955841,0.07292728871107101,0.0730302557349205,0.07076573371887207,0.07543905079364778,0.06850811839103699,0.07503556460142136,0.07550562918186188,0.07204034924507141,0.07649451494216919,0.07345614582300186,0.0729672983288765,0.07264097779989243,0.07551418989896774,0.07813502103090286,0.07453498989343643,0.06666160374879837,0.0741967111825943,0.07621310651302338,0.07122180610895157,0.07655152678489685,0.06653843820095062,0.07957103103399278,0.07141128927469254,0.07361122220754622,0.07229677587747574,0.06578155606985092,0.06953742355108261,0.07102756202220918,0.07408126443624496,0.07627706229686737,0.0677533969283104,0.06957556307315826,0.0770886018872261,0.06860101968050003,0.07289201766252518,0.07134959846735,0.07473231852054596,0.0720692053437233,0.07337631285190582,0.07402094453573227,0.07370314002037047,0.0730898380279541,0.0707310289144516
391210-10-9,0.23429863154888156,0.25273483991622925,0.2492881417274475,0.2285407930612564,0.2574112117290497,0.2437650263309479,0.2258978933095932,0.2581073045730591,0.2417155355215073,0.2451363503932953,0.23366254568099976,0.24266986548900604,0.2559458315372467,0.22323089838027954,0.2605387568473816,0.23822155594825745,0.2446625530719757,0.2487237602472305,0.22446288168430328,0.22372812032699585,0.24958547949790955,0.23635426163673398,0.2545003294944763,0.2795762121677399,0.24430084228515625,0.21805207431316376,0.21272370219230646,0.2607991993427277,0.2400376945734024,0.21528452634811399,0.26459822058677673,0.21969935297966006,0.2217787206172943,0.24336108565330505,0.22875738143920896,0.239002525806427,0.2449057847261429,0.2363448888063431,0.2308830916881561,0.2233780920505524,0.243227943778038,0.2258466333150864,0.2530905604362488,0.2645091116428375,0.2547653317451477,0.26059603691101074,0.2463410347700119,0.21477460861206052
